V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1265,13168,0,24,1237,0,0,14900,13888,0,15519,1327,15916,1249,2,0,0,568,15829,20000
2000,60040,0,46,2600,0,0,51766,55274,0,50013,1800,51757,1800,0,3140,0,2000,49946,70000
0,0,-2,47,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,210000
1318,46486,0,56,4086,0,0,34323,35758,0,22628,4976,30452,1428,0,2171,0,3198,23468,110000
682,21986,0,41,1362,0,0,20979,21520,0,18811,618,19894,1294,0,680,0,694,18805,50000
20500,60125,-1,40,1981,-1,0,4521,1981,-1,76933,7700,20472,4521,-1,77000,-1,100000,173599,400000
5500,148363,0,42,6900,0,0,151310,148432,0,144990,5600,141937,6867,0,5500,0,5500,147911,280000
5000,46255,0,32,5000,0,0,54019,50486,0,61630,5000,58091,5000,0,4500,0,5000,65576,210000
0,35369,0,31,1027,0,-2,0,35320,-2,0,0,0,0,-2,0,2,0,0,60000
300,0,-2,32,0,-2,-2,1100,0,-2,-200,0,300,1100,-2,0,-2,0,-200,270000
42000,-200,-2,42,0,-2,-2,0,-200,-1,0,0,42000,200,-1,0,1,0,0,450000
1000,8177,0,33,2500,0,0,9669,9131,0,8049,1500,7624,1145,0,1000,0,1000,6857,10000
0,1034,-1,37,40000,-1,-1,0,40000,-2,0,0,0,0,-2,0,-1,510,510,140000
120,5137,0,22,1300,0,-1,6270,5960,0,5810,1170,6000,1000,0,200,0,390,390,50000
1100,24114,0,32,2000,0,2,28777,25417,2,29693,0,29107,4110,2,1200,0,1400,30456,40000
2000,61611,0,27,3011,0,2,63695,62711,0,67361,2258,63926,3095,0,4600,0,0,59480,70000
8000,97002,2,35,8200,2,2,97997,102698,2,97266,0,103384,0,2,0,1,8600,101492,100000
0,5766,2,30,2000,2,0,7678,7511,0,7458,0,7318,500,0,500,2,500,7598,20000
3590,97797,0,41,4520,0,0,101953,99672,0,104090,3510,102284,5050,0,3700,0,3750,105859,320000
6000,71989,0,28,52129,0,0,147936,122129,0,152574,10000,149573,30000,0,6000,0,7000,156323,200000
7024,29033,0,56,1283,0,-2,7024,17013,-2,7024,7024,7024,7024,-2,7024,-1,7024,7024,30000
3508,1548,-1,47,0,-1,-1,177639,-32,0,4852,10007,174397,177671,-1,4876,-1,4188,4125,360000
0,0,-2,29,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,150000
35752,28026,-2,41,41346,-2,0,51500,41302,-2,3955,4437,35752,52110,-1,3955,-2,13939,13969,280000
750,43610,0,31,1655,0,-1,36156,43280,0,30155,500,30305,1797,2,0,0,561,561,300000
0,5780,-1,27,105,-1,-1,105,105,-1,7384,1304,0,105,-1,7384,-1,8588,8588,200000
2000,52515,2,30,0,3,0,49967,51424,0,20076,1600,20036,0,0,1000,1,1000,37615,50000
0,22582,4,22,4600,2,2,25814,26518,3,24569,2500,25110,0,2,0,1,2200,26357,30000
0,10476,-1,24,1000,0,0,688,7279,2,688,0,688,688,0,0,0,650,1320,20000
368,16326,0,49,1441,0,0,18456,17497,0,18800,0,18424,1400,0,376,0,200,10000,20000
780,17681,0,49,1611,0,0,18054,18249,0,19152,2000,18569,2000,0,1000,0,1000,18088,50000
1256,203,-2,31,770,-2,-2,664,767,-2,-10,0,1250,667,-2,0,-2,2184,2174,400000
0,0,-2,35,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,150000
2000,45174,0,48,3000,0,0,42832,41885,0,11723,2000,23799,3413,0,5000,0,17236,27236,80000
3333,0,-1,27,3338,-1,-1,3333,3338,-1,3333,3333,3333,3333,-1,3333,1,3333,3333,180000
316,9192,-1,47,13942,-1,-1,4022,13920,-1,8420,516,316,4022,-1,8420,-1,316,316,320000
2000,25935,0,34,2000,0,2,28783,27210,2,29385,0,30003,2338,2,0,0,2500,31401,80000
222,12865,-1,39,4484,-1,-1,19560,4462,0,5329,9004,8894,19623,-1,5355,-1,998,998,360000
297,9935,0,26,1234,0,0,12795,11029,0,10884,361,9983,2000,0,1000,0,307,7666,50000
0,1278,-1,34,0,2,-2,621,639,-1,-18,0,-18,621,-2,0,1,0,-18,120000
3009,46132,0,57,2306,0,0,40091,41050,0,38529,0,40659,2111,0,1725,0,1500,30900,110000
2150,142764,0,31,6540,0,0,67887,126606,0,105301,2000,58397,2100,0,50000,0,4700,105965,610000
7200,280823,0,34,11000,0,0,271952,275303,0,187562,5500,193403,12000,0,6500,0,6173,191069,300000
4825,390,-1,31,390,-1,-1,390,390,-1,5202,0,4825,390,-1,5202,2,780,780,150000
383,48036,0,26,2100,0,0,42011,46787,0,2845,649,19147,1227,0,2000,0,20000,20041,50000
1126,43346,0,43,4006,0,0,39032,43976,0,22725,1572,29092,2383,0,782,-1,596,11590,500000
5000,110163,0,58,5600,0,0,114837,112499,0,45643,0,116400,5700,0,1855,0,6400,51083,230000
24616,4113,-1,26,2000,0,0,16025,6030,-1,19458,1000,24616,16025,0,1000,0,1000,20047,140000
3061,25103,0,31,1509,0,-1,16024,21330,0,2131,2324,9603,1067,-1,2210,0,64524,64507,420000
233,197,-2,24,0,-1,-2,0,0,-1,0,0,233,0,-1,0,-1,0,0,140000
10000,240878,0,33,10000,0,0,238067,233838,0,238245,8000,242579,11000,0,10000,0,10000,233710,240000
3000,81665,0,35,2460,0,0,34419,46070,0,38080,5000,36829,2000,0,2000,0,3000,40434,110000
5000,11442,-1,28,3738,-1,0,7526,3738,0,11737,27760,10217,7526,0,5000,-1,162,8114,210000
0,158,-2,40,0,-1,-2,0,0,-2,0,1863,0,0,-2,0,-1,612,612,220000
15000,29649,0,26,0,2,0,28736,21657,0,46404,0,42733,8000,0,9000,1,10000,37993,60000
3359,12716,-2,26,16244,-2,-1,1954,16164,-2,1483,2994,5297,1963,-1,4849,-2,3410,3393,200000
0,1438,-1,26,1261,-1,-1,451,1261,-1,-420,0,-810,451,-2,780,-1,2130,1320,20000
0,0,-1,31,0,-2,2,190,0,-1,36059,2420,0,190,-1,36059,1,0,32851,50000
1180,819,2,27,2184,-1,-1,1677,3003,-1,1313,0,1177,5,-1,1316,-1,1088,1085,50000
1539,929,-1,38,328,-1,-1,0,328,-1,1815,0,1539,0,-1,1815,-1,0,0,370000
2000,11894,0,29,1284,0,0,12407,12287,0,14657,1000,14360,1047,0,359,0,175,4129,80000
0,55064,0,29,5000,0,-2,9479,57833,0,0,0,0,1033,-2,0,-1,0,0,60000
7900,13801,0,22,1372,0,-2,5385,9549,-1,0,0,7781,1275,-1,0,0,0,0,50000
0,385,-1,37,13032,-1,-1,1290,12695,-1,0,3768,0,1290,-2,0,-1,3058,3058,400000
7472,2000,-1,44,780,-1,0,0,780,-1,10174,1000,7472,0,0,3000,-1,1104,11104,50000
