V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,CLASS
4138,176688,0,34,6929,0,0,180957,179281,0,169863,1507,165911,5088,0,4789,0,2450,71403,260000,0
7029,350340,0,50,12884,0,0,366475,359289,0,253283,7399,248288,13000,0,7100,0,7500,258707,500000,0
316,3860,-1,36,1826,-1,-1,2135,1770,-1,3491,2706,316,2150,-1,3491,-1,1716,1716,90000,0
1902,52271,0,34,6000,0,2,60049,56788,0,65178,5000,60876,5000,0,5000,0,0,45933,400000,0
1000,59291,0,34,3000,0,0,59503,60720,0,28903,1025,49305,2267,0,1100,0,1300,28577,60000,0
390,836,-1,40,836,-1,-1,390,836,-1,390,30500,390,390,-1,390,-1,390,390,20000,1
2500,15476,2,40,1600,2,2,15975,16533,2,17336,2000,17903,0,3,0,1,0,16910,20000,0
1420,1606,-1,51,1420,-1,-1,1420,1420,-1,1420,1420,1420,1420,-1,1420,0,3464,3464,170000,0
132906,7855,-1,53,17512,-1,-1,12021,17481,-1,122256,3500,132906,12021,0,0,-1,37380,37380,500000,0
0,1672,-1,31,4411,-1,-2,500,4411,-1,0,0,0,504,-2,0,-1,0,0,160000,0
0,7604,-1,32,0,2,2,150,7320,2,800,500,150,150,2,650,1,0,650,80000,1
499,0,-2,32,0,-2,-1,0,0,-1,1113,455,499,0,-1,1113,1,392,392,360000,0
1000,33991,2,24,0,2,2,34805,33168,2,36692,1500,34933,2500,2,2900,1,2000,37934,50000,1
980,0,-2,27,0,-2,-2,0,0,-2,0,0,980,0,-2,0,1,0,0,160000,0
1200,13683,0,39,0,2,2,13853,13178,0,14443,2200,14823,1200,2,0,3,1600,15802,80000,1
0,0,-2,23,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,50000,0
10597,986,-1,28,2964,-1,-1,27754,2939,-1,1954,390,10534,27968,-1,1954,-1,2140,2140,300000,0
1450,27785,0,35,1800,0,0,26496,28786,0,26209,1500,25098,1500,0,1500,0,1500,25325,30000,1
0,26568,0,22,1762,0,2,29963,27556,2,30174,1755,28835,3500,2,2297,0,40,28603,30000,1
0,141,-1,25,201,-1,-1,11520,-756,-1,5171,107,1520,13040,-1,5171,-1,3716,3716,160000,0
2500,15000,-1,55,1055,-1,-1,-180,1055,-1,1286,1110,2320,0,-1,2000,0,1132,1132,90000,1
1486,2638,-1,29,1526,-1,-1,2276,1526,-1,1776,776,1486,2276,-1,1776,-1,2308,2308,240000,1
5701,135390,0,43,6329,0,0,132242,134974,0,55232,2350,122832,5472,0,2211,0,38663,78266,130000,0
5000,20533,0,52,2000,0,-1,21990,20819,0,25242,5000,15525,2000,-1,25242,0,0,0,30000,1
9419,247477,0,36,11,2,0,242629,241976,0,203445,7501,239438,10949,0,7461,2,7601,203585,240000,0
1200,48712,0,24,2269,0,0,21604,49587,0,9238,1000,14772,1286,0,332,0,500,9588,50000,0
0,78933,0,27,3400,0,0,81584,78244,2,79402,3000,78795,6900,0,2800,0,3100,80385,80000,0
81414,25916,-1,43,14187,-1,-1,56573,14187,-1,62063,25417,81414,56717,-1,62063,-1,14122,14122,490000,0
0,122339,2,23,18518,0,0,136572,137278,2,96847,4366,95115,3358,0,3200,0,8000,101443,160000,0
4530,9841,-1,46,121,2,-1,4060,9628,-1,2140,0,4530,4060,-1,2140,1,1875,1875,10000,1
5000,134936,0,27,6700,0,0,138767,137328,0,128228,3600,137231,6704,0,4155,0,4100,110803,140000,0
390,390,-1,44,390,-1,-1,390,390,-1,390,390,390,390,-1,390,-1,390,390,100000,0
2375,21316,0,25,2375,0,3,24720,23038,0,29332,0,26370,2375,0,3547,0,0,28574,50000,0
3018,227271,0,41,9000,0,0,99865,211597,0,49529,3000,77754,4000,0,2000,0,3000,30683,210000,0
5000,179063,0,31,5000,0,0,162739,159466,0,166452,20000,163555,5100,0,6000,0,4500,168398,200000,0
0,750,3,30,0,2,3,750,750,3,2450,0,750,0,3,2000,2,0,2150,90000,0
46777,225995,0,30,10382,0,0,224420,231382,0,137929,5528,136324,8420,0,4929,2,4249,114249,380000,1
3305,0,-1,40,372,-1,-1,-7,372,-1,455,0,3298,0,-1,455,1,0,-325,160000,0
770,14328,2,47,3114,2,0,17418,17196,2,17187,549,17608,800,2,0,2,776,17528,20000,1
532,7659,0,33,11400,0,0,19570,18814,0,9908,10000,19967,1135,0,449,0,693,9646,10000,0
117686,8740,-1,50,4919,-1,0,176823,4919,-1,36708,853,117686,176823,-1,36708,-1,363,18126,280000,0
5000,19165,0,53,3000,0,0,14431,16851,0,10100,0,9150,3000,0,6000,0,0,0,20000,1
33913,4988,-1,44,3003,-1,-1,96868,2986,-1,5143,0,33745,97353,-1,5168,-1,1611,1601,400000,0
375,9884,0,39,0,2,2,10318,9586,0,11354,1000,10522,1200,0,1000,2,0,11022,30000,1
4241,1071,-1,32,1671,-1,-1,1981,1671,-1,4542,4731,4241,1981,-1,4542,-1,5261,5261,180000,1
317,0,2,58,10587,-1,0,8845,9587,0,9074,500,8867,331,0,350,1,331,9254,50000,0
1500,19946,0,28,2000,0,0,13086,18646,0,3555,0,13086,1500,0,1000,0,0,0,150000,0
8000,290211,0,47,10989,0,0,303686,296743,0,224937,7670,226605,12100,0,8000,0,9000,228912,310000,0
2656,69896,0,49,2588,0,0,72820,71360,0,75821,2965,74264,2644,0,2752,0,2850,77410,100000,0
1698,94925,0,47,3889,0,0,60003,95130,0,4681,2748,38500,2412,0,679,0,72809,76728,100000,0
528,126220,5,38,0,6,2,72225,76247,4,63073,2380,67850,880,3,0,7,0,61761,60000,0
790,7740,-1,36,1445,-1,-1,782,1445,-1,849,7575,790,782,-1,849,-1,12319,12319,260000,0
1110,9642,-1,25,12557,-1,-1,3938,12557,-1,9848,0,1110,3938,-1,9848,-1,3301,3301,120000,0
264,264,-2,27,264,-2,-2,264,264,-2,264,0,264,264,-2,264,-2,264,264,200000,0
0,154085,-1,34,4373,-1,-1,65539,4373,2,36039,211192,62450,62450,0,500,-1,2300,2300,500000,0
12,6287,2,34,2505,0,-1,2224,3580,0,-11,0,1206,5,0,0,0,2227,2216,360000,0
430,32485,-1,35,10000,0,0,430,21080,-1,12715,15000,430,430,-1,12715,0,5000,16895,290000,0
0,53419,0,35,7000,0,-2,0,53358,-2,0,0,0,0,-2,0,-1,0,0,220000,0
390,390,-1,42,390,-1,-1,390,390,-1,240,0,390,390,-1,240,-1,1080,930,230000,0
2000,24717,0,29,3000,0,0,28592,26659,0,29096,5000,29364,3000,0,1000,0,977,29353,170000,0
13915,5712,-2,31,11881,-2,-2,21049,11598,-2,3565,1971,13846,21171,-2,3583,-2,7111,7076,620000,0
0,0,-2,36,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,200000,0
10840,253549,0,30,10400,0,0,265931,259711,0,200380,8205,245884,11200,0,9361,0,5300,221201,310000,0
350,8509,0,32,1400,0,0,9821,9228,0,9469,0,9495,1300,0,500,0,1650,10191,10000,0
4680,72607,-1,38,2003,-1,-1,2791,1995,-1,2936,1811,4644,2803,-1,2956,-1,2254,2245,290000,0
4677,83590,0,24,3200,0,2,85744,84960,0,70021,2500,79963,3110,0,3200,0,2500,70853,90000,0
1760,66132,-1,41,6983,-1,-2,3050,6917,-1,0,891,1760,3331,-1,0,-1,0,0,300000,0
3000,21374,0,37,3000,0,0,25996,23695,0,30450,3000,28240,3000,0,3000,0,2000,31798,230000,0
0,0,-2,29,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,80000,0
1000,166,0,32,1484,-1,0,2526,1484,0,3522,28,3452,1074,0,70,-1,1387,4909,180000,0
1276,12466,2,53,3086,0,2,14802,15333,0,18470,0,15523,0,0,3223,0,805,18834,30000,1
1500,23409,0,25,2000,0,0,26006,24725,0,28179,2000,26771,2000,0,2000,0,2200,29746,140000,0
1200,54084,0,70,0,2,0,50733,51564,0,30444,1301,30363,2504,0,1500,2,1100,30482,50000,0
0,61089,2,35,0,3,0,60486,59556,2,33247,3400,58296,2525,0,1206,3,1423,34118,100000,1
5000,147051,0,36,6700,0,0,139649,138726,0,56788,2600,104245,5800,0,2200,0,2200,57920,300000,0
882,22136,0,54,1388,0,0,24178,23165,0,25175,782,24659,1401,0,913,0,1075,25832,50000,0
0,50180,0,49,2400,0,-2,0,51400,-2,0,0,0,0,-2,0,0,0,0,50000,1
0,58574,-2,39,0,1,-2,-1930,-1540,-2,-1220,0,-2320,0,-2,2000,1,2000,0,60000,1
13615,7207,-1,28,12625,-1,0,6244,12625,-1,25475,5000,13615,6244,-1,25478,0,5000,26237,60000,0
0,396,-1,36,590,-1,-1,2042,590,0,396,396,1646,2042,-1,396,-1,396,396,210000,0
14292,374663,0,45,13195,0,0,379652,382010,0,334908,11703,387706,13510,0,11553,0,12130,341884,560000,1
5020,122246,2,30,6000,2,2,120459,124010,0,81046,2800,121749,0,0,6100,2,0,79608,120000,0
1600,27890,0,24,2000,0,0,19742,27788,0,16336,1000,20672,2000,0,1000,0,1000,16921,50000,0
6682,3388,-1,49,1359,-1,-1,7650,1359,-1,1942,5870,6682,7650,-1,1942,0,0,0,470000,1
8998,5695,-1,32,9420,-1,-1,16278,9420,-1,10242,6697,8998,16290,-1,10421,-1,19098,19098,240000,0
6461,-453,-1,35,2336,-1,-1,1215,1168,-1,2567,11605,6461,1215,-1,2567,1,1470,735,500000,0
2422,0,-2,31,950,-2,-2,0,950,-2,669,0,1782,0,-2,669,-2,0,0,200000,0
12000,334125,0,37,13562,0,0,343792,335778,0,198944,4000,301895,15000,0,8120,0,7720,197439,340000,0
339,339,-1,50,2744,-1,-1,4402,2744,-1,339,0,339,4402,-1,339,-1,339,339,500000,0
2000,80508,2,37,3100,2,0,78772,81731,0,70319,75003,76818,0,0,3000,2,0,-1560,80000,1
10481,456668,0,49,14706,0,0,325772,424843,0,325841,11329,320760,15377,0,11003,0,11303,331602,480000,0
35000,1195,-1,27,700,-1,0,1074,553,0,35488,1300,35783,1074,0,1300,2,1400,36020,80000,0
3000,26623,0,25,3000,0,0,34049,28863,0,40003,5000,36061,6000,0,5000,2,6000,45423,140000,1
1000,42646,0,33,2159,2,0,28391,30060,0,25377,0,26156,1500,0,1000,2,3800,27422,30000,1
5671,144648,0,27,8000,0,0,151365,150320,0,157082,9900,154025,6000,0,5700,0,5741,160217,320000,0
1000,59945,0,36,1805,0,-1,27275,57262,0,14293,8000,22095,5816,0,5000,0,12217,12217,60000,0
1100,5754,2,26,900,3,2,6156,6407,2,7384,708,7146,0,2,500,3,0,7117,40000,1
1856,6677,-1,38,0,2,-1,1856,4561,-1,1856,26042,1856,1856,-1,1856,-1,2508,2508,200000,0
1424,20248,0,37,45535,0,0,53340,50797,0,20180,754,45661,3500,0,2000,-1,1300,21155,50000,0
3315,68663,0,22,4341,0,0,52452,65244,0,29675,1673,35001,2068,0,1029,0,1334,28667,90000,0
1000,29772,0,23,0,2,-1,29235,28707,0,500,1000,14040,1600,0,0,1,22292,22292,30000,0
4407,133102,0,40,5015,0,0,126758,126956,0,122830,3109,121857,5032,0,4040,0,3001,90219,460000,0
10000,208353,0,50,10000,0,0,210880,205873,0,217883,8000,215628,10000,0,10000,0,10000,223541,490000,0
3000,106986,0,42,3578,0,0,89221,103249,0,86384,3078,86996,3207,0,3200,2,3241,85440,270000,0
2422,2381,-1,25,1800,0,-1,1051,2908,-1,1051,83573,2422,1052,0,0,0,1051,1051,90000,0
3000,71978,0,41,3500,0,0,74621,73715,0,77231,2000,72567,2800,0,6000,2,3000,78780,100000,0
0,10350,-2,35,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,310000,0
291,291,-1,37,291,-1,-1,291,291,-1,291,291,291,291,-1,291,-1,441,441,140000,0
0,621,-1,41,0,-1,0,368,0,-1,1900,1145,0,368,-1,1900,-1,0,1900,100000,0
664,46578,0,48,1308,0,0,18628,39085,0,19715,759,19002,1290,0,1003,0,693,18900,60000,1
1400,9532,3,47,5000,0,0,13513,14023,2,13862,664,14388,0,2,0,0,659,14149,50000,0
6700,216328,0,30,8000,0,0,218783,218435,0,69234,0,158215,8600,0,2600,0,3500,71560,290000,0
1000,19177,2,37,1500,2,2,20930,20054,2,20651,1000,21291,1500,2,0,2,1801,22110,30000,1
1019,105347,0,41,6241,0,0,49287,66897,0,238,1452,4130,2324,0,1,0,0,0,180000,0
3000,119803,0,25,5100,0,-2,113689,118737,0,-1518,0,59473,4600,0,0,0,0,-1518,130000,1
10753,218637,0,36,10034,0,0,159930,223208,0,213408,8910,141834,5600,0,100000,0,12823,222681,230000,0
3304,40933,2,27,0,3,2,40340,39630,2,41023,1200,42332,2000,3,0,1,3000,42722,40000,0
390,1261,-1,25,1261,-1,-1,390,1261,-1,390,780,390,390,-1,390,-1,0,0,10000,0
10000,6872,0,23,1204,0,0,8801,7805,0,18909,600,18601,1200,0,538,-1,10000,39156,20000,0
4200,66470,0,36,2000,0,0,76561,36825,0,48351,0,39434,3000,0,22000,0,1200,20800,100000,0
1600,28457,0,28,1492,0,0,30508,29491,0,32262,1217,31599,1509,0,1170,0,1177,32904,50000,1
2618,69046,0,47,2548,0,0,71931,70490,0,74897,6098,73362,2602,0,2709,0,2800,76461,480000,0
700,28622,0,22,1700,0,0,27764,28219,0,28576,1000,27973,1500,0,700,0,500,12135,30000,0
1505,49307,0,33,1500,0,0,27572,48214,0,20541,2000,26810,1300,0,1000,2,1000,19234,70000,1
0,20985,2,24,0,2,0,20399,20393,3,19645,0,19945,2403,2,0,1,2000,11229,30000,0
6863,209164,0,26,6429,0,0,186008,201798,0,159418,4207,173810,5959,0,3762,0,3907,139200,270000,0
291,291,-1,49,291,-1,-1,291,291,-1,291,291,291,582,-1,291,-1,291,291,210000,0
1274,23257,0,39,1333,0,0,21583,22938,0,21618,688,22453,1500,0,700,0,700,19525,50000,0
1171,31063,2,39,1800,2,0,33239,32051,2,32732,1221,33571,2000,2,0,2,1211,33416,50000,1
12300,259511,2,42,11000,2,2,245397,258208,2,209834,6887,245014,0,2,14288,2,0,195913,240000,0
0,18641,2,27,6630,0,-1,2173,21870,2,-9,2511,-9,10,-2,0,0,3626,3617,280000,0
3000,48338,0,26,3008,0,0,40989,48283,0,18884,1500,26695,2024,0,1000,0,5000,20131,50000,0
28293,26358,0,33,4,2,0,25440,24890,-1,25193,2030,26191,1925,2,0,1,1100,25742,50000,0
0,1148,-1,57,0,2,-1,1668,123,2,123,0,446,1668,-1,490,-1,35722,35722,260000,0
1244,17728,0,23,1700,0,0,38099,18835,0,16408,1000,18471,1262,0,595,0,1000,17135,20000,0
332,331,-1,31,332,-1,-1,331,331,-1,-1,0,331,332,-1,0,-1,200,199,300000,0
10000,202783,0,48,10000,0,0,202918,202036,0,199002,8000,202197,10000,0,7500,0,8000,197781,360000,0
1006,5584,0,38,1106,-1,-1,2199,1106,0,735,0,2997,1208,-1,50000,-1,1104,1104,150000,0
11034,4890,-1,27,3630,-1,-1,4882,3630,-1,10435,3765,10955,4882,-1,10435,-1,1665,1665,200000,0
2300,89526,0,26,3400,0,0,85301,89149,0,65923,2400,65463,3325,0,2400,2,2400,67269,90000,1
2000,242132,0,52,5600,0,0,65225,130404,0,37565,4019,41922,3000,0,3000,0,500,28830,370000,0
396,396,-2,45,396,-2,-2,396,396,-2,396,396,396,396,-2,396,-2,396,396,180000,0
500,5745,0,35,2224,0,0,7053,6023,0,3287,5000,5909,1171,0,500,0,500,3604,20000,1
0,73397,3,33,10000,0,0,80296,82151,2,76508,3000,77848,0,0,2788,0,3171,78396,80000,0
1300,3347,0,51,1000,0,0,4503,3899,0,6375,134,5347,1066,0,1500,0,1200,7077,50000,1
0,0,-2,30,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,180000,0
5000,37719,0,30,3025,0,0,25981,30341,0,65840,2000,24092,5000,-1,65840,0,2000,56538,230000,0
9123,99,-1,30,2977,-1,-1,15086,2977,-1,13028,50000,8578,15086,-1,13028,-1,29712,21712,160000,0
23648,0,-2,47,9661,-2,-2,0,9661,-2,575,249,23648,218,-2,575,-2,847,847,200000,0
1420,85365,0,24,4054,0,0,90370,88054,0,27398,3265,26420,4444,0,1398,0,1345,28295,90000,0
5000,11358,0,32,7079,0,0,17416,17580,0,11800,13000,14789,7000,0,0,0,11831,21831,360000,1
950,18464,2,42,1600,2,2,19649,19465,2,20512,0,19978,800,2,1000,3,800,20831,20000,1
0,2333,-2,42,6295,-2,-2,0,6295,-2,1070,0,0,0,-2,1070,-2,0,0,360000,0
8359,0,-1,35,0,-2,0,12403,0,0,4935,1000,17849,12403,-1,4935,1,3000,6491,30000,0
3000,52824,0,55,2000,0,0,54842,53165,0,56286,2000,54868,3002,0,2300,-1,2345,56621,180000,0
1081,7787,0,23,1299,0,0,9450,8412,0,5354,0,9414,1337,0,191,0,375,5275,10000,0
0,136,-2,23,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,130000,0
420,18648,0,26,1309,0,0,13902,19561,0,13207,0,14183,1139,0,418,0,816,12996,140000,0
1665,1657,-1,58,2277,-1,-1,4049,2277,-1,559,663,1665,4066,-1,559,-1,0,0,150000,0
0,380,-1,58,0,2,-1,948,64,0,316,316,632,1200,0,0,-1,316,316,320000,0
0,0,-2,44,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,220000,0
499,998,2,30,0,2,-1,0,998,-1,724,424,499,0,-1,724,-1,390,390,170000,0
3328,10459,-1,24,2516,0,0,122175,11445,0,76628,1891,111847,122685,0,2230,0,2062,64200,150000,0
415,10103,0,23,1205,0,0,12106,11139,0,11420,400,12349,1172,0,404,0,400,11641,20000,0
3000,80402,2,46,8000,0,0,84998,86137,2,78245,3100,85627,1100,0,3000,0,3100,79929,100000,0
3000,14757,0,29,2000,0,3,17825,16196,2,20510,500,20234,2200,3,900,0,0,19897,20000,0
3000,18280,0,25,1482,0,0,20986,19468,0,25548,2000,23783,2000,0,3000,0,1500,21811,60000,0
371,79673,2,36,7100,0,0,80107,79353,2,45985,1801,78323,2600,0,1904,0,1801,45434,80000,0
0,4127,0,24,1500,0,2,7458,5557,2,7923,1000,7192,2000,2,1000,2,0,7647,20000,1
8871,209263,0,39,7127,0,0,200957,199834,0,205710,5208,205454,7335,0,8055,0,8426,210115,250000,0
2513,994,-1,38,0,-1,0,27566,0,0,12495,1841,28558,27566,-1,12495,-1,8906,18906,360000,0
2912,994,-1,44,3693,-1,-1,1098,3693,-1,2910,1887,2912,1098,-1,2910,-1,4122,4122,130000,0
151,316,-1,34,0,-1,-1,2549,0,-1,0,918,151,2549,-1,0,-1,574,574,140000,0
0,1800,-2,34,0,-1,-2,0,0,-2,0,0,0,0,-2,0,-1,0,0,120000,0
5000,64786,0,42,5000,0,0,47256,45923,0,50064,8000,50727,3000,0,5000,0,10000,59017,440000,0
5000,778,0,24,980,0,0,1206,982,0,4460,10000,5430,1000,2,0,2,5000,8429,140000,0
2131,21993,2,50,1300,2,2,23057,22634,2,24711,2200,24506,1082,3,900,2,0,24178,30000,1
4147,226315,0,30,9100,0,0,226909,231582,0,138520,3729,135626,9859,0,3691,0,3700,141280,240000,0
1140,6902,0,24,1142,0,0,8939,7922,0,9692,1000,9533,1159,0,692,0,829,9829,10000,1
3176,1880,-2,32,1261,-2,-2,1650,1261,-2,3379,2241,3176,1650,-2,3379,-2,1807,1807,80000,0
15098,350110,0,44,14082,0,0,312615,316685,0,302248,20164,316685,15023,0,10008,0,15045,311651,480000,0
5045,125863,0,28,10053,0,0,119175,131249,0,101725,5572,115922,5028,0,3012,0,3000,90334,390000,0
0,0,2,51,31,-1,-1,31,31,2,1931,0,31,0,0,1900,1,878,878,180000,1
0,0,-2,56,0,-2,-1,0,0,-2,562,1269,0,0,-1,562,1,736,736,50000,1
11030,4468,-1,28,11525,-1,0,1973,11517,-1,14261,1193,11028,2149,0,4008,-1,7106,17097,280000,0
6110,1448,-1,43,6018,-1,-1,10402,6018,-1,7848,20723,6110,10426,-1,7848,-1,14279,14279,450000,0
4000,202064,0,31,6000,0,0,174581,206107,0,181127,0,176527,6000,0,5000,0,4000,172851,210000,0
7000,188307,0,44,6600,0,0,184976,179988,0,196884,7236,188934,8000,0,11000,0,7181,199267,240000,0
18000,162540,0,30,10000,0,0,171087,155319,0,156830,10000,172732,32000,0,5000,0,4000,139816,400000,0
1727,58584,0,46,2700,0,0,52413,59250,0,28098,1100,44436,2219,0,1120,0,1500,26749,60000,0
1500,34084,0,23,1521,0,0,32006,33476,0,31247,1329,31672,1573,0,1300,0,1300,30673,30000,0
2000,11423,2,36,2749,0,2,13455,13976,2,14699,1230,15227,0,3,0,0,0,14313,20000,0
2680,36925,0,50,2000,0,2,39680,38324,0,43607,5261,41687,2000,0,2600,0,1000,43739,100000,1
6108,208009,0,34,8200,0,0,166288,212271,0,172345,7700,168146,8000,0,7000,0,7743,177151,220000,0
4734,125854,0,27,4775,0,0,131352,127843,0,132142,4227,130884,6579,0,4368,0,4183,118084,200000,0
1200,27882,2,46,1800,2,2,30128,28937,2,31326,800,30548,1980,2,1400,1,0,30688,30000,1
